Number of Playgrounds,Neighborhood,,,
8,Squirrel Hill South,,,
5,Beechview,,,
5,South Side Slopes,,,
4,Allegheny Center,,,
4,Sheraden,,,
4,Beltzhoover,,,
4,Highland Park,,,
3,East Liberty,,,
3,Hazelwood,,,
3,Crawford-Roberts,,,
3,Mount Washington,,,
3,South Oakland,,,
3,Upper Lawrenceville,,,
3,Elliott,,,
2,Garfield,,,
2,Morningside,,,
2,Marshall-Shadeland,,,
2,Manchester,,,
2,Lincoln Place,,,
2,South Side Flats,,,
2,Troy Hill,,,
2,Greenfield,,,
2,Lincoln-Lemington-Belmar,,,
2,Bloomfield,,,
2,Brookline,,,
2,Brighton Heights,,,
2,Carrick,,,
2,Crafton Heights,,,
2,Central Northside,,,
1,Fairywood,,,
1,Bon Air,,,
1,Bluff,,,
1,Spring Garden,,,
1,Spring Hill-City View,,,
1,Squirrel Hill North,,,
1,Stanton Heights,,,
1,Regent Square,,,
1,Strip District,,,
1,Swisshelm Park,,,
1,Terrace Village,,,
1,Bedford Dwellings,,,
1,Upper Hill,,,
1,Banksville,,,
1,West End,,,
1,West Oakland,,,
1,Westwood,,,
1,Shadyside,,,
1,Point Breeze North,,,
1,Polish Hill,,,
1,Fineview,,,
1,Esplen,,,
1,East Carnegie,,,
1,Hays,,,
1,Duquesne Heights,,,
1,Homewood North,,,
1,Homewood West,,,
1,Larimer,,,
1,Allentown,,,
1,Lower Lawrenceville,,,
1,Central Oakland,,,
1,Middle Hill,,,
1,Central Lawrenceville,,,
1,New Homestead,,,
1,Oakwood,,,
1,Perry North,,,
1,Perry South,,,
1,Windgap,,,
0,East Allegheny,,,